Date,Value
31-01-2013,127.63
28-02-2013,126.67
31-03-2013,124.26
30-04-2013,124.98
31-05-2013,122.12
30-06-2013,113.75
31-07-2013,115.93
31-08-2013,113.34
30-09-2013,114.13
31-10-2013,113.35
30-11-2013,111.06
31-12-2013,108.85
31-01-2014,104.13
28-02-2014,103.04
31-03-2014,105.08
30-04-2014,107.07
31-05-2014,108.72
30-06-2014,106.17
31-07-2014,106.17
31-08-2014,106.9
30-09-2014,105.76
31-10-2014,105.83
30-11-2014,107
31-12-2014,104.9
31-01-2015,106.11
28-02-2015,107.19
31-03-2015,105.06
30-04-2015,105.47
31-05-2015,104.62
30-06-2015,101.98
31-07-2015,101.72
31-08-2015,98.84
30-09-2015,94.35
31-10-2015,95.05
30-11-2015,92.73
31-12-2015,87.74
31-01-2016,80.61
29-02-2016,82.97
31-03-2016,84.39
30-04-2016,87.54
31-05-2016,83.97
30-06-2016,86.03
31-07-2016,90.59
31-08-2016,94.35
30-09-2016,92.57
31-10-2016,94.29
30-11-2016,95.94
31-12-2016,97.98
31-01-2017,99.48
28-02-2017,101.67
31-03-2017,103.52
30-04-2017,98.98
31-05-2017,99.25
30-06-2017,101.16
31-07-2017,98.3
31-08-2017,96.22
30-09-2017,96.24
31-10-2017,93.42
30-11-2017,90.79
31-12-2017,96.42
31-01-2018,101.77
28-02-2018,103.97
31-03-2018,103.91
30-04-2018,101.97
31-05-2018,100.73
30-06-2018,95.93
31-07-2018,96.24
31-08-2018,92.69
30-09-2018,88.42
31-10-2018,91.05
30-11-2018,93.98
31-12-2018,93.09
31-01-2019,94.47
28-02-2019,95.03
31-03-2019,91.21
30-04-2019,93
31-05-2019,92.14
30-06-2019,90.9
31-07-2019,94.29
31-08-2019,88.75
30-09-2019,90.97
31-10-2019,90.34
30-11-2019,90.73
31-12-2019,92.79
31-01-2020,92.74
29-02-2020,90.05
31-03-2020,81.79
30-04-2020,74.3
31-05-2020,76.01
30-06-2020,79.2
31-07-2020,80.08
31-08-2020,76.72
30-09-2020,78.83
31-10-2020,79.88
30-11-2020,83.8
31-12-2020,86.09
31-01-2021,84.56
28-02-2021,86.86
31-03-2021,86.5
30-04-2021,89.7
31-05-2021,90.96
30-06-2021,92.23
31-07-2021,89.4
31-08-2021,87.79
30-09-2021,89.11
31-10-2021,87.83
30-11-2021,84.64
31-12-2021,83.09
31-01-2022,84.91
28-02-2022,86.43
31-03-2022,88.97
30-04-2022,90.17
31-05-2022,87.03
30-06-2022,87.98
31-07-2022,84.1
