Date,Rate
31-01-2013,5
28-02-2013,5
29-03-2013,5
30-04-2013,5
31-05-2013,5
28-06-2013,5
31-07-2013,5
30-08-2013,5
30-09-2013,5
31-10-2013,5
29-11-2013,5
31-12-2013,5
31-01-2014,5.5
28-02-2014,5.5
31-03-2014,5.5
30-04-2014,5.5
30-05-2014,5.5
30-06-2014,5.5
31-07-2014,5.75
29-08-2014,5.75
30-09-2014,5.75
31-10-2014,5.75
28-11-2014,5.75
31-12-2014,5.75
30-01-2015,5.75
27-02-2015,5.75
31-03-2015,5.75
30-04-2015,5.75
29-05-2015,5.75
30-06-2015,5.75
31-07-2015,6
31-08-2015,6
30-09-2015,6
30-10-2015,6
30-11-2015,6.25
31-12-2015,6.25
29-01-2016,6.75
29-02-2016,6.75
31-03-2016,7
29-04-2016,7
31-05-2016,7
30-06-2016,7
29-07-2016,7
31-08-2016,7
30-09-2016,7
31-10-2016,7
30-11-2016,7
30-12-2016,7
31-01-2017,7
28-02-2017,7
31-03-2017,7
28-04-2017,7
31-05-2017,7
30-06-2017,7
31-07-2017,6.75
31-08-2017,6.75
29-09-2017,6.75
31-10-2017,6.75
30-11-2017,6.75
29-12-2017,6.75
31-01-2018,6.75
28-02-2018,6.75
30-03-2018,6.5
30-04-2018,6.5
31-05-2018,6.5
29-06-2018,6.5
31-07-2018,6.5
31-08-2018,6.5
28-09-2018,6.5
31-10-2018,6.5
30-11-2018,6.75
31-12-2018,6.75
31-01-2019,6.75
28-02-2019,6.75
29-03-2019,6.75
30-04-2019,6.75
31-05-2019,6.75
28-06-2019,6.75
31-07-2019,6.5
30-08-2019,6.5
30-09-2019,6.5
31-10-2019,6.5
29-11-2019,6.5
31-12-2019,6.5
31-01-2020,6.25
28-02-2020,6.25
31-03-2020,5.25
30-04-2020,4.25
29-05-2020,3.75
30-06-2020,3.75
31-07-2020,3.5
31-08-2020,3.5
30-09-2020,3.5
30-10-2020,3.5
30-11-2020,3.5
31-12-2020,3.5
29-01-2021,3.5
26-02-2021,3.5
31-03-2021,3.5
30-04-2021,3.5
31-05-2021,3.5
30-06-2021,3.5
30-07-2021,3.5
31-08-2021,3.5
30-09-2021,3.5
29-10-2021,3.5
30-11-2021,3.75
31-12-2021,3.75
31-01-2022,4
28-02-2022,4
31-03-2022,4.25
29-04-2022,4.25
31-05-2022,4.75
30-06-2022,4.75
29-07-2022,5.5
