Date,Price
31-01-2013,1.6
28-02-2013,2
31-03-2013,1.5
30-04-2013,1.1
31-05-2013,1.4
30-06-2013,1.8
31-07-2013,2
31-08-2013,1.5
30-09-2013,1.2
31-10-2013,1
30-11-2013,1.2
31-12-2013,1.5
31-01-2014,1.6
28-02-2014,1.1
31-03-2014,1.5
30-04-2014,2
31-05-2014,2.1
30-06-2014,2.1
31-07-2014,2
31-08-2014,1.7
30-09-2014,1.7
31-10-2014,1.7
30-11-2014,1.3
31-12-2014,0.8
31-01-2015,-0.1
28-02-2015,0
31-03-2015,-0.1
30-04-2015,-0.2
31-05-2015,0
30-06-2015,0.1
31-07-2015,0.2
31-08-2015,0.2
30-09-2015,0
31-10-2015,0.2
30-11-2015,0.5
31-12-2015,0.7
31-01-2016,1.4
29-02-2016,1
31-03-2016,0.9
30-04-2016,1.1
31-05-2016,1
30-06-2016,1
31-07-2016,0.8
31-08-2016,1.1
30-09-2016,1.5
31-10-2016,1.6
30-11-2016,1.7
31-12-2016,2.1
31-01-2017,2.5
28-02-2017,2.7
31-03-2017,2.4
30-04-2017,2.2
31-05-2017,1.9
30-06-2017,1.6
31-07-2017,1.7
31-08-2017,1.9
30-09-2017,2.2
31-10-2017,2
30-11-2017,2.2
31-12-2017,2.1
31-01-2018,2.1
28-02-2018,2.2
31-03-2018,2.4
30-04-2018,2.5
31-05-2018,2.8
30-06-2018,2.9
31-07-2018,2.9
31-08-2018,2.7
30-09-2018,2.3
31-10-2018,2.5
30-11-2018,2.2
31-12-2018,1.9
31-01-2019,1.6
28-02-2019,1.5
31-03-2019,1.9
30-04-2019,2
31-05-2019,1.8
30-06-2019,1.6
31-07-2019,1.8
31-08-2019,1.7
30-09-2019,1.7
31-10-2019,1.8
30-11-2019,2.1
31-12-2019,2.3
31-01-2020,2.5
29-02-2020,2.3
31-03-2020,1.5
30-04-2020,0.3
31-05-2020,0.1
30-06-2020,0.6
31-07-2020,1
31-08-2020,1.3
30-09-2020,1.4
31-10-2020,1.2
30-11-2020,1.2
31-12-2020,1.4
31-01-2021,1.4
28-02-2021,1.7
31-03-2021,2.6
30-04-2021,4.2
31-05-2021,5
30-06-2021,5.4
31-07-2021,5.4
31-08-2021,5.3
30-09-2021,5.4
31-10-2021,6.2
30-11-2021,6.8
31-12-2021,7
31-01-2022,7.5
28-02-2022,7.9
31-03-2022,8.5
30-04-2022,8.3
31-05-2022,8.6
30-06-2022,9.1
